G,T,M,P,Y_star,r_star
195.27792,141.8168,1.3511609,1.7208241,144.113,71.27132
153.23584,97.12442,1.6986265,1.4766428,133.75847,65.7289
59.215878,93.57164,0.6604767,1.26459,67.22677,33.09109
129.47015,108.26509,0.5694367,1.6656935,110.853424,55.08486
206.8232,88.38545,0.8782761,0.9205574,175.50006,86.79595
233.94136,101.70204,0.5407019,0.6397,189.00757,93.658554
159.19781,52.647583,2.5723908,1.9697,157.30087,77.34446
125.580894,58.954628,1.3125863,0.9692435,130.6547,63.973118
244.65326,134.26312,1.4125698,1.4004431,182.93765,90.46016
75.450035,70.782166,0.673568,1.264978,88.60405,43.769558
254.00224,139.37427,1.9570262,1.881401,187.47005,92.69483
126.505646,105.48718,1.5624573,1.9960119,110.55637,54.49539
